Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
13-334,"Salsify, flesh only, raw",Ends trimmed,DG,"Vegetables, Herbs and Spices Supplement, 1991",83.3,1.3,0.3,10.2,27,113,3.5,1.5,0.01,0.0,0.1,1.4,0.0,0.0,NULL,3.2,NULL,NULL,NULL,NULL,NULL,0.0,5,310,42,20,42,0.90,0.01,0.2,37,0.40,NULL,NULL,0,20,0.0,NULL,NULL,0.06,0.01,0.2,0.2,0.07,0.0,57,NULL,NULL,3
17-367,Salt,"2 samples, table salt",WY,"Reviewed 2013. LGC, Analysis of assorted foods, 1994",0.01,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,39300,89,10,76,1,0.30,0.08,0.1,59900,0.01,NULL,44,0,0,0.0,0.00,NULL,0.00,0.00,0.0,0.0,0.00,0.0,0,0.00,0.0,0
16-010,"Salted fish, Chinese, bones removed, steamed",8 assorted varieties,JA,"Fish and Fish Products Supplement, 1993",47.6,33.9,2.2,0.0,155,658,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,5560,480,69,64,270,1.30,0.24,0.7,8320,0.08,NULL,NULL,0.01,0.01,0.01,NULL,NULL,0.01,0.11,4.1,6.3,NULL,5.0,8,NULL,NULL,0.01
12-467,"Sambar, homemade","6 samples, spicy yellow lentil stew",DR,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",81.8,3.1,0.9,7.7,49,210,5.9,1.9,0.3,0.0,0.3,1.3,0.0,0.0,0.0,2.1,2.4,0.17,0.26,0.42,0.01,70.5,444,251,27,22,57,0.81,0.14,0.4,NULL,NULL,NULL,NULL,0,101,0.0,NULL,NULL,0.22,0.03,0.2,NULL,NULL,0.0,11,0.16,1.7,0.01
19-596,"Samosas, lamb, baked, homemade",Recipe,MR,Updated 2014,46.1,11.1,17.5,23.1,288,1200,20.8,1.6,0.4,NULL,0.3,0.6,0.0,0.0,0.0,1.7,2.3,3.39,9.07,3.81,0.44,30.9,40,300,41,23,130,1.55,0.10,1.8,100,0.30,2,7,2,79,0.3,2.85,NULL,0.22,0.08,2.2,2.2,0.19,0.6,9,0.44,1.2,4
19-597,"Samosas, lamb, deep fried in rapeseed oil, homemade",Recipe,MI,Updated 2014,41.8,8.1,31.5,16.9,379,1570,15.2,1.2,0.3,NULL,0.2,0.4,0.0,0.0,0.0,1.2,1.7,3.72,17.76,8.28,0.32,22.6,29,219,30,17,95,1.15,0.07,1.3,73,0.22,1,7,1,58,0.2,6.25,NULL,0.16,0.06,1.6,1.6,0.14,0.5,7,0.32,0.9,3
15-305,"Samosas, vegetable, retail","5 samples, 3 brands; mixed vegetable filling",DR,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; fatty acids and phytosterols from Fatty Acids Supplement 15-351",51.3,5.1,9.3,30.0,217,911,27.3,2.7,0.3,0.0,0.2,1.1,1.1,0.0,0.0,2.5,3.5,1.09,4.72,3.20,0.32,0.8,390,150,65,19,65,1.50,0.11,0.5,590,0.30,NULL,NULL,0,NULL,0.0,NULL,NULL,0.12,0.08,1.1,0.7,0.15,0.0,44,NULL,NULL,NULL
11-955,"Sandwich, white bread, bacon, lettuce and tomato",Recipe from University of North London survey of commercial sandwiches,AB,University of North London 1997. Recalculated in 2013,51.5,8.2,11.9,24.1,230,965,21.7,2.4,0.2,0.01,0.4,0.1,1.6,0.01,NULL,1.2,1.5,2.46,5.41,3.10,0.01,16.6,477,177,95,17,84,0.97,0.09,0.7,795,0.28,5,4,30,66,0.3,2.66,NULL,0.34,0.08,2.2,1.7,0.14,0.2,23,0.49,1.1,3
11-963,"Sandwich, white bread, cheddar cheese and pickle",Recipe from University of North London survey of commercial sandwiches,AB,"University of North London, 1997. Recalculated in 2013",41.4,12.0,14.4,27.7,282,1184,23.1,4.6,0.9,0.01,1.1,0.9,1.7,0.01,NULL,1.1,1.5,7.42,3.92,1.86,0.45,29.6,591,107,321,22,206,1.01,0.08,1.7,883,0.29,5,11,141,94,0.4,1.46,NULL,0.14,0.16,0.9,3.1,0.09,0.7,23,0.38,1.7,0.01
11-964,"Sandwich, white bread, chicken salad",Recipe from University of North London survey of commercial sandwiches,AB,"University of North London, 1997. Recalculated in 2013",58.7,10.7,4.9,22.5,172,725,20.4,2.1,0.2,NULL,0.4,0.0,1.5,0.0,NULL,1.1,1.4,1.16,1.66,1.58,0.03,26.0,235,196,91,20,105,0.99,0.10,0.8,414,0.27,7,4,26,64,0.3,1.15,NULL,0.15,0.08,3.2,2.3,0.14,0.01,22,0.61,1.3,3
11-966,"Sandwich, white bread, egg mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,"University of North London, 1997. Recalculated in 2013",47.5,8.8,11.2,28.5,243,1020,26.2,2.2,0.0,0.0,0.1,0.1,2.0,0.0,0.0,1.2,1.5,1.89,5.00,3.19,0.02,102.6,323,124,124,18,115,1.54,0.11,0.9,553,0.31,11,17,66,21,1.1,3.10,NULL,0.17,0.18,1.0,2.2,0.08,0.6,24,0.61,5.0,0.01
11-965,"Sandwich, white bread, ham salad",Recipe from University of North London survey of commercial sandwiches,AB,"University of North London, 1997. Recalculated in 2013",58.5,8.2,4.1,25.0,163,690,22.5,2.5,0.2,0.0,0.4,0.2,1.7,0.01,0.0,1.2,1.6,0.94,1.20,1.45,0.01,12.2,405,190,98,19,126,1.04,0.11,0.8,639,0.29,6,4,25,63,0.2,1.21,NULL,0.31,0.08,2.3,1.7,0.18,0.2,24,0.50,1.2,2
11-967,"Sandwich, white bread, tuna mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,"University of North London, 1997. Recalculated in 2013",48.7,12.5,10.2,25.3,237,994,23.2,2.1,0.0,0.0,0.1,0.1,1.7,0.01,NULL,1.0,1.4,1.29,4.95,3.19,0.01,20.4,350,151,100,21,108,1.38,0.10,0.7,617,0.27,26,7,40,19,0.6,3.15,NULL,0.13,0.09,4.2,3.1,0.15,1.1,15,0.30,1.3,0.01
14-256,"Sapodilla, flesh only",Literature sources;,FA,"Fruit and Nuts Supplement, 1992",76.3,0.6,0.9,15.5,69,291,0.8,14.7,6.7,NULL,5.3,2.7,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,7,190,27,26,15,1.10,0.36,NULL,26,NULL,NULL,NULL,0,53,0.0,NULL,NULL,0.01,0.02,0.2,NULL,0.04,0.0,NULL,0.24,NULL,10
16-424,"Sardines, canned in brine, drained","6 samples, 5 products",JC,"DH, Nutrient analysis of fish and fish products, 2013",66.1,22.1,9.1,0.0,170,712,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,0.0,2.61,2.30,2.73,0.01,66.0,368,287,679,42,545,2.73,0.13,2.2,560,0.18,41,26,10,0.01,3.3,0.24,NULL,0.01,0.22,5.5,4.2,0.07,10.8,4,0.64,4.7,0.01
16-440,"Sardines, canned in olive oil, drained",Calculated from 16-424 and 17-038,JC,"DH, Nutrient analysis of fish and fish products, 2013",58.6,23.3,14.1,0.0,220,918,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,5.95,3.14,0.01,66.0,400,410,500,46,520,2.30,0.11,2.2,550,0.19,49,23,11,NULL,3.6,0.52,NULL,0.01,0.29,6.9,4.4,0.18,15.0,8,0.89,5.0,0.01
16-439,"Sardines, canned in sunflower oil, drained","Calculated from 16-424, sunflower oil  and industry data, 2013",JC,"DH, Nutrient analysis of fish and fish products, 2013",58.6,23.3,14.1,0.0,220,918,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,3.33,5.89,0.01,66.0,400,410,500,46,520,2.30,0.11,2.2,550,0.19,49,23,11,0.01,3.6,2.73,NULL,0.01,0.29,6.9,4.4,0.18,15.0,8,0.89,5.0,0.01
16-422,"Sardines, canned in tomato sauce, whole contents","9 samples, 8 products",JC,"DH, Nutrient analysis of fish and fish products, 2013",67.3,18.5,10.8,0.9,175,729,0.01,0.9,0.3,0.0,0.6,0.01,0.0,0.0,0.0,0.01,0.01,2.89,2.71,3.49,0.01,71.0,315,371,455,38,417,2.69,0.12,2.0,480,0.18,39,26,10,276,3.3,1.84,NULL,0.03,0.22,5.5,5.2,0.25,8.9,4,0.63,5.9,0.01
16-438,"Sardines, flesh only, grilled",Calculated from raw (analytical data 2010-2011) using weight loss on cooking,JC,"Nutrient analysis of fish and fish products, 2013",67.2,25.4,7.8,0.0,172,720,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,2.31,2.00,0.01,65.1,174,496,63,40,329,1.99,0.17,0.9,256,0.04,65,101,13,0.01,5.1,0.40,NULL,0.01,0.39,11.6,6.8,0.36,10.6,9,0.84,12.4,0.01
16-488,"Sardines, flesh only, grilled, weighed with skin and bones",Calculated from 16-438 using edible conversion factor of 0.63,JC,"DH, Nutrient analysis of fish and fish products, 2013",42.3,16.0,4.9,0.0,108,453,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,1.46,1.26,0.01,41.0,110,312,40,25,207,1.25,0.10,0.6,161,0.02,41,64,8,0.01,3.2,0.25,NULL,0.01,0.25,7.3,4.3,0.23,6.7,6,0.53,7.8,0.01
16-401,"Sardines, flesh only, raw","6 samples, 5 products, frozen and chilled",JC,"DH, Nutrient analysis of fish and fish products, 2013",74.4,19.8,6.1,0.0,134,562,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.80,1.56,0.01,51.0,136,387,50,32,257,1.55,0.13,0.7,200,0.03,51,79,10,0.01,4.0,0.31,NULL,0.01,0.34,10.1,5.3,0.31,8.3,7,0.69,9.7,0.01
12-593,"Sauce, cheese, packet mix, dry","10 samples, 4 brands",BV,"Milk Products and Eggs Supplement, 1989;  and industry data, 2013. Fat, sat fat, sodium and chloride updated with industry data, 2014 (Colman's products)",3.9,19.3,28.4,40.9,486,2033,35.3,5.6,0.01,0.0,0.01,0.3,0.01,5.3,NULL,NULL,1.7,17.60,NULL,NULL,NULL,NULL,2700,330,430,36,730,0.80,0.01,2.5,3650,0.30,NULL,NULL,140,150,0.5,NULL,NULL,0.12,0.58,0.9,4.1,0.26,1.3,46,NULL,NULL,0
17-628,"Sauce, Chinese cook in, sweet & sour","10 samples, 7 products, chilled and ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",74.3,0.5,1.0,22.1,94,399,2.7,19.4,4.8,0.0,4.8,9.7,0.0,0.0,NULL,0.9,0.8,0.01,NULL,NULL,0.00,0.0,250,93,11,6,11,0.22,0.03,0.1,410,0.19,0.01,1,0,584,0.0,0.50,NULL,0.02,0.01,0.3,0.01,0.03,0.0,3,0.14,1.5,1
17-629,"Sauce, Chinese stir fry","10 samples, 10 products, including black bean and Szechuan, chilled and ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",72.8,1.4,1.3,19.9,92,390,3.2,16.7,3.7,0.0,3.6,9.3,0.01,0.0,NULL,0.8,0.9,0.12,0.56,0.50,0.01,0.0,570,106,15,11,24,1.12,0.07,0.2,890,0.18,0.01,13,0,121,0.0,0.27,NULL,0.02,0.03,0.3,0.1,0.04,0.0,6,0.20,1.2,2
15-879,"Sauce, curry, onion, with butter, homemade",Onion base for curry. Recipe from review of recipe collection,DR,Updated 2014,64.4,1.2,24.7,6.6,252,1043,0.01,4.4,1.6,NULL,1.2,1.4,0.0,0.2,0.0,1.5,1.6,15.49,6.22,0.89,0.85,63.4,228,152,41,13,31,1.41,NULL,0.2,383,0.17,NULL,14,285,195,0.3,0.77,2.20,0.07,0.04,0.3,0.3,0.12,0.1,6,0.08,0.6,3
15-880,"Sauce, curry, onion, with vegetable oil, homemade",Onion base for curry. Recipe from review of recipe collection,DR,Updated 2014,60.0,1.0,30.0,6.5,298,1232,0.01,4.2,1.6,NULL,1.2,1.4,0.0,0.0,0.0,1.5,1.6,1.96,17.63,8.76,0.01,0.0,11,144,36,12,24,1.44,0.06,0.2,50,0.70,NULL,6,0,14,0.0,6.82,NULL,0.07,0.02,0.3,0.2,0.12,0.0,6,0.07,0.5,3
15-751,"Sauce, curry, sweet, UK type, homemade",Recipe. Basic UK-type sauce with fruit and coconut. Recipe from review of recipe collection,DR,Updated 2014,81.0,1.1,5.7,9.8,92,385,3.1,5.7,2.2,NULL,2.5,0.9,0.0,0.0,NULL,1.4,NULL,1.37,2.47,1.25,0.01,0.0,12,164,27,13,24,1.52,0.07,0.2,41,0.20,0.01,2,0,41,0.0,1.14,NULL,0.06,0.02,0.3,0.2,0.05,0.0,5,0.06,0.6,2
15-881,"Sauce, curry, tomato and onion, homemade",Recipe. Gujerati dish. Recipe from a personal collection,DR,Updated 2014,68.0,1.7,19.2,6.1,201,828,0.6,4.6,2.0,NULL,1.9,0.7,0.0,0.0,NULL,NULL,2.0,1.30,11.27,5.66,0.01,0.0,29,294,28,17,33,1.09,0.10,0.2,118,0.17,0.01,NULL,0,383,0.0,5.46,NULL,0.13,0.04,0.9,0.3,0.16,0.0,7,0.18,1.3,6
17-329,"Sauce, dry, casserole mix","8 samples, 5 brands; including liver and bacon, sausage, beef Bourguignon mixes",WC,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",7.3,9.7,3.9,68.2,330,1400,56.0,12.2,3.8,0.0,2.3,4.8,0.0,1.3,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,5400,800,92,62,210,3.90,0.26,1.0,7470,0.54,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,0
17-330,"Sauce, dry, casserole mix, made up",Calculated from 70g powder to 568ml water,WC,"LFRA, Nutrient analysis of miscellaneous foods, 1992",89.8,1.1,0.4,7.3,35,150,6.1,1.2,0.4,0.0,0.2,0.5,0.0,0.1,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,590,88,10,7,23,0.40,0.03,0.1,820,0.06,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,0
19-577,"Sauce, duck a l'orange",Used for duck a l'orange recipe calculations,MR,Updated 2014,86.8,0.5,3.7,7.1,66,277,5.3,1.8,0.6,NULL,0.6,0.5,0.0,0.0,0.6,0.01,NULL,2.10,0.85,0.13,0.12,8.6,399,40,6,3,10,0.15,0.01,0.1,58,0.01,0.01,2,38,31,0.0,0.10,0.36,0.01,0.01,0.01,0.01,0.01,0.01,3,0.01,0.2,5
17-626,"Sauce, Indian cook in, korma/tikka masala","10 samples, 10 products, ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",75.8,1.7,9.5,10.9,133,555,3.5,7.4,1.6,0.01,2.0,3.2,0.0,0.5,NULL,1.5,2.5,4.41,2.42,2.19,0.14,7.8,270,193,34,17,40,0.84,0.06,0.3,460,0.35,1,3,35,395,0.01,1.65,NULL,0.02,0.14,0.5,0.2,0.06,0.01,6,0.18,2.3,1
17-625,"Sauce, pasta, carbonara type","10 samples, 9 products, chilled and ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",76.3,4.9,13.0,3.8,151,625,3.0,0.8,0.01,NULL,0.01,0.01,0.0,0.8,0.0,0.9,1.3,7.67,3.75,0.75,0.43,30.9,340,80,100,7,126,0.24,0.01,0.6,470,0.03,3,11,87,49,0.01,0.55,NULL,NULL,0.09,0.6,0.9,0.12,0.01,5,0.20,1.0,0.01
17-624,"Sauce, pasta, four cheese","10 samples, 8 products, chilled and ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",76.7,5.1,9.7,5.8,129,538,3.9,1.9,0.01,NULL,0.01,NULL,0.01,NULL,NULL,0.9,1.3,5.73,2.80,0.62,0.32,23.0,325,70,169,10,149,0.13,0.01,0.7,416,0.04,3,18,87,49,0.01,0.55,NULL,0.01,0.11,0.1,1.1,0.15,0.01,6,0.20,1.0,0.01
17-618,"Sauce, pasta, tomato based, for bolognese","10 samples, 9 products, ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",84.8,1.5,1.3,6.9,44,184,0.8,6.1,2.2,NULL,2.6,1.3,0.0,0.0,NULL,1.3,2.0,0.21,0.71,0.35,0.01,0.1,290,387,31,19,33,0.65,0.12,0.2,500,0.15,1,0.01,0,577,0.0,1.99,NULL,0.06,0.02,1.0,0.2,0.27,0.0,2,0.40,3.0,0.01
17-619,"Sauce, pasta, tomato based, napoletana","11 samples, 10 products, including tomato and basil sauce, ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",85.9,1.5,3.8,6.5,65,270,0.2,6.3,2.9,NULL,2.7,0.7,0.0,0.0,NULL,1.8,2.3,0.54,1.81,1.30,0.01,0.0,290,356,33,18,32,0.62,0.12,0.2,500,0.15,1,0.01,0,592,0.0,3.60,NULL,0.06,0.02,1.0,0.2,0.23,0.0,8,0.30,3.0,0.01
17-620,"Sauce, pasta, tomato based, reduced fat","6 samples, 3 products, ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",86.5,1.4,0.3,6.7,33,142,1.1,5.6,2.1,NULL,2.4,1.1,0.0,0.0,NULL,1.3,2.0,0.06,0.03,0.11,0.01,0.0,230,387,31,19,33,0.65,0.12,0.2,400,0.15,1,0.01,0.01,577,0.0,NULL,NULL,0.06,0.02,1.0,0.2,0.27,0.0,2,0.40,3.0,0.01
17-621,"Sauce, pasta, tomato based, with added vegetables","10 samples, 9 products, including chargrilled vegetable, sweet pepper, arrabbiata and mushroom pasta sauce, ambient",WC,"LGC, Nutrient analysis of pasta and pasta sauces, 2003; and industry data, 2013",84.9,1.4,2.1,5.7,46,193,0.6,5.1,1.8,NULL,2.1,1.2,0.0,0.0,NULL,2.4,2.4,0.29,1.12,0.60,0.01,0.0,230,354,24,17,35,0.60,0.16,0.2,410,0.15,1,3,0,472,0.0,1.05,NULL,0.01,0.07,1.2,0.2,0.23,0.0,15,0.20,2.0,4
17-827,"Sauce, pasta, white, with ham and mushrooms, homemade",Recipe,WC,Updated 2014,77.3,7.3,10.6,1.0,129,534,0.1,1.0,0.1,0.01,0.1,0.1,0.01,0.7,0.0,0.7,0.4,6.60,2.81,0.48,0.36,36.7,198,291,124,15,182,0.29,0.24,1.1,352,0.03,NULL,NULL,138,83,0.1,0.26,NULL,0.17,0.22,1.9,1.7,0.14,0.6,16,1.32,7.8,1
17-336,"Sauce, sweet and sour, take-away","7 samples purchased from Chinese restaurants, sundry-style dipping sauce",WCN,"LFRA, Nutrient analysis of miscellaneous foods, 1992",65.3,0.2,3.4,32.8,157,666,5.3,27.5,9.5,0.0,9.7,8.3,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,150,16,6,2,4,6.00,0.01,0.01,240,0.04,NULL,NULL,0,NULL,0.0,NULL,NULL,0.11,0.01,0.0,0.01,NULL,0.0,NULL,NULL,NULL,NULL
15-882,"Sauce, tomato and mushroom, homemade","Recipe, Sauce for pasta or pizza. Recipe from review of recipe collection",DR,Updated 2014,87.4,1.4,2.0,6.0,46,191,0.2,4.7,2.0,NULL,1.9,0.7,0.0,0.0,NULL,1.4,1.5,0.19,0.69,0.95,0.01,0.0,6,289,23,14,33,0.83,0.11,0.2,100,0.14,2,4,0,343,0.0,2.07,NULL,0.06,0.07,1.1,0.2,0.12,0.01,17,0.28,2.0,6
17-834,"Sauce, tomato based, homemade",Recipe,WC,Updated 2014,84.8,1.5,4.5,6.5,70,291,0.1,5.1,1.9,NULL,1.9,1.2,0.0,0.0,NULL,1.0,1.3,0.63,3.17,0.41,0.01,0.0,8,286,20,14,26,0.75,0.10,0.2,92,0.13,0.01,3,0,433,0.0,1.79,NULL,0.15,0.04,0.9,0.2,0.12,0.0,11,0.21,1.5,7
17-630,"Sauce, traditional cook in, tomato based","10 samples including chasseur and red wine sauce, chilled and ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",86.2,0.9,1.0,8.1,43,182,3.1,4.9,1.5,0.0,1.7,1.6,0.0,0.0,0.01,1.2,1.5,0.15,0.35,0.49,0.01,0.0,300,194,26,11,23,0.61,0.06,0.2,510,0.12,1,1,0,315,0.0,1.38,NULL,0.12,0.03,0.7,0.1,0.06,0.0,5,0.27,2.7,3
17-631,"Sauce, traditional cook in, white sauce based","110 samples, 10 products, including white wine sauces, cheese sauces and creamy sauces, chilled and ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003",81.7,1.6,8.6,5.7,105,437,2.8,2.8,0.5,0.01,0.5,1.2,0.1,0.5,NULL,1.9,2.3,1.69,2.75,3.72,0.12,8.0,370,67,28,5,56,0.14,0.02,0.2,610,0.05,1,4,18,228,0.01,3.50,NULL,0.29,0.06,0.2,0.3,0.02,0.01,7,0.20,0.9,0.01
17-627,"Sauces, Indian cook in, other","10 samples, 9 products, including balti, rogan josh, jalfrezi, ambient",WC,"Direct Laboratories, Nutrient analysis catch up project, 2003; and industry data, 2013",82.6,1.4,3.2,8.7,67,282,2.6,6.1,1.9,0.01,2.3,1.9,0.0,0.01,NULL,1.5,2.5,0.50,1.24,1.28,0.03,NULL,300,236,33,18,32,1.02,0.09,0.2,520,0.29,1,2,0,384,0.0,2.34,NULL,0.03,0.03,0.8,0.1,0.08,0.01,11,0.31,3.2,3
13-336,Sauerkraut,"10 samples, 3 brands. Bottled and canned, drained",DR,"Reviewed 2013. LGC, Canned and other processed vegetable products survey, 1985",91.0,1.1,0.01,1.1,9,36,0.01,1.1,0.7,0.0,0.3,0.1,0.0,0.0,0.0,2.2,NULL,0.01,0.01,0.01,0.01,0.0,590,180,50,10,23,1.20,0.05,0.3,860,0.20,0.01,1,0,18,0.0,NULL,NULL,0.04,0.01,0.2,0.2,0.15,0.0,16,0.23,NULL,10
19-468,"Sausage roll, flaky pastry, ready-to-eat, retail","10 samples, 10 products, mini and large",MI,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",36.5,8.4,24.1,27.0,352,1467,25.6,1.3,0.2,0.01,0.01,0.2,1.0,0.01,NULL,2.7,3.4,10.36,9.42,3.07,0.03,NULL,577,129,61,14,89,1.16,0.01,0.7,880,0.31,5,2,0.01,0.01,0.01,2.11,NULL,0.08,0.11,1.7,1.7,0.18,0.2,2,0.24,0.7,2
19-643,"Sausage rolls, short pastry, homemade",Recipe,MI,Updated 2014,32.6,9.9,28.8,25.6,395,1645,23.5,2.1,0.8,NULL,0.01,0.0,1.2,0.1,0.0,1.8,3.3,10.65,12.51,4.17,0.10,36.0,376,146,102,13,130,1.02,0.04,0.7,548,0.25,4,5,1,0.01,0.5,1.92,NULL,0.05,0.06,1.6,1.4,0.07,0.5,5,0.52,3.3,3
19-653,"Sausages, beef, fried in vegetable oil","6 samples of thick sausages, chilled",MI,"LGC, Analytical survey of meat products, 1990-1991; CCFRA, Programme of mini surveys: survey of sausages, 2003; and industry data, 2013",52.7,17.6,17.4,10.7,267,1114,8.1,2.6,0.4,NULL,0.2,0.8,1.1,0.1,0.0,1.7,1.6,7.57,8.17,0.73,0.43,42.0,490,246,103,19,246,1.81,0.13,2.6,620,0.28,5,8,0.01,0.01,NULL,0.79,NULL,0.01,0.11,2.9,2.3,0.13,0.9,15,0.97,3.9,NULL
19-489,"Sausages, beef, grilled","6 samples of thick sausages, chilled. Approx 60-81% meat",MI,"LGC, Analytical survey of meat products, 1990-1991; CCFRA, Programme of mini surveys: survey of sausages, 2003; and industry data, 2013",51.3,17.2,17.2,11.0,265,1105,8.6,2.4,0.4,0.0,0.2,0.7,1.0,0.1,0.0,1.7,1.6,7.90,7.90,0.57,0.53,42.0,500,246,103,19,259,1.81,0.14,2.6,680,0.27,5,8,0.01,0.01,NULL,0.59,NULL,0.01,0.14,3.2,2.3,0.14,0.9,9,0.83,3.9,NULL
19-656,"Sausages, beef, raw","6 samples of thick sausages. 50-55% meat, chilled",MI,"LGC, Analytical survey of meat products, 1990-1991; CCFRA, Programme of mini surveys: survey of sausages, 2003; and industry data, 2013",57.5,12.7,19.5,8.4,258,1072,5.8,2.6,0.5,0.0,0.1,0.4,1.5,0.1,0.0,1.4,1.5,7.59,9.03,0.56,0.63,43.0,380,185,74,14,173,1.36,0.10,1.8,490,0.17,5,9,0.01,0.01,NULL,0.54,NULL,0.01,0.10,2.6,2.1,0.12,1.2,12,0.79,3.7,33
19-512,"Sausages, pork, chilled, fried in vegetable oil",16 samples,MI,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",46.4,13.9,23.9,9.9,308,1279,8.4,1.6,0.4,0.01,0.01,0.2,0.9,0.1,0.0,0.7,2.1,8.50,10.30,3.50,0.13,53.0,640,180,110,15,220,1.10,0.12,1.1,880,0.19,6,8,0.01,0.01,1.1,0.86,NULL,0.01,0.13,3.1,2.0,0.09,1.0,3,0.85,5.0,5
19-509,"Sausages, pork, chilled, grilled",16 samples,MI,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",45.9,14.5,22.1,9.8,294,1221,8.3,1.5,0.4,0.01,0.01,0.2,0.8,0.1,0.0,0.7,2.3,8.00,9.60,3.00,0.10,53.0,640,190,110,15,220,1.10,0.11,1.4,980,0.20,6,8,0.01,0.01,1.1,0.92,NULL,0.01,0.13,3.1,2.0,0.12,1.0,4,0.93,5.0,5
19-654,"Sausages, pork, frozen, fried in vegetable oil",Analysis and calculation from 19-081,MI,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",45.3,13.8,24.8,10.0,316,1312,9.5,0.5,NULL,0.01,0.01,NULL,NULL,NULL,0.0,0.7,2.1,8.80,10.90,3.30,0.20,60.0,640,160,110,13,170,0.90,0.07,0.8,880,0.19,5,7,0.01,0.01,NULL,NULL,NULL,0.04,0.08,1.9,1.4,0.07,1.0,19,0.61,5.0,4
19-655,"Sausages, pork, frozen, grilled",10 samples,MI,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",45.1,14.8,21.2,10.5,289,1204,10.0,0.5,NULL,0.01,0.01,NULL,NULL,NULL,0.0,0.7,2.3,7.60,9.30,2.80,0.10,60.0,640,160,110,13,170,0.90,0.07,0.8,980,0.19,5,7,0.01,0.01,NULL,0.71,NULL,0.04,0.08,1.9,1.4,0.07,1.0,19,0.62,5.0,4
